Brand,Price,Horsepower,Fuel Efficiency,Encoded_Brand,Scaled_Horsepower,Scaled_Fuel_Efficiency,Scaled_Brand,Performance_Index
Brand C,91942,0.7050000000000001,0.21199999999999997,6,0.7050000000000001,0.21199999999999997,0.625,0.14945999999999998
Brand A,70075,0.2425,0.904,4,0.2425,0.904,0.375,0.21922
Brand C,84524,0.22000000000000003,0.9959999999999999,6,0.22000000000000003,0.9959999999999999,0.625,0.21912
Brand E,68939,0.395,0.20399999999999996,2,0.395,0.20399999999999996,0.125,0.08057999999999998
Brand X,66505,0.4425,0.12,8,0.4425,0.12,0.875,0.0531
Brand W,92762,0.0625,0.33999999999999997,1,0.0625,0.33999999999999997,0.0,0.021249999999999998
Brand Y,99356,0.45999999999999996,0.42400000000000004,3,0.45999999999999996,0.42400000000000004,0.25,0.19504
Brand A,38486,0.8625,0.48,4,0.8625,0.48,0.375,0.414
Brand A,54628,0.815,0.14,4,0.815,0.14,0.375,0.11410000000000001
Brand D,93925,0.375,0.4840000000000001,9,0.375,0.4840000000000001,1.0,0.18150000000000005
Brand D,91392,0.24,0.9840000000000001,9,0.24,0.9840000000000001,1.0,0.23616
Brand W,44426,0.35750000000000004,0.7559999999999999,1,0.35750000000000004,0.7559999999999999,0.0,0.27027
Brand B,80911,0.7000000000000001,0.16000000000000003,5,0.7000000000000001,0.16000000000000003,0.5,0.11200000000000003
Brand Z,70801,0.835,0.08399999999999996,7,0.835,0.08399999999999996,0.75,0.07013999999999997
Brand Y,56553,0.4175,0.664,3,0.4175,0.664,0.25,0.27722
Brand C,98956,0.505,0.388,6,0.505,0.388,0.625,0.19594
Brand D,41342,0.7425,0.43599999999999994,9,0.7425,0.43599999999999994,1.0,0.32372999999999996
Brand Y,56788,0.6775,0.264,3,0.6775,0.264,0.25,0.17886000000000002
Brand W,73681,0.67,0.512,1,0.67,0.512,0.0,0.34304
Brand C,63849,0.8700000000000001,0.532,6,0.8700000000000001,0.532,0.625,0.4628400000000001
Brand D,66440,0.73,0.86,9,0.73,0.86,1.0,0.6278
Brand D,32201,0.8574999999999999,0.856,9,0.8574999999999999,0.856,1.0,0.7340199999999999
Brand C,58132,0.4275,0.17600000000000005,6,0.4275,0.17600000000000005,0.625,0.07524000000000002
Brand W,55534,0.47250000000000003,0.45200000000000007,1,0.47250000000000003,0.45200000000000007,0.0,0.21357000000000004
Brand D,58482,0.5650000000000001,0.7279999999999999,9,0.5650000000000001,0.7279999999999999,1.0,0.41131999999999996
Brand D,62941,0.7875000000000001,0.816,9,0.7875000000000001,0.816,1.0,0.6426000000000001
Brand Z,38558,0.8125,0.9319999999999998,7,0.8125,0.9319999999999998,0.75,0.7572499999999999
Brand Z,89631,0.14750000000000002,0.816,7,0.14750000000000002,0.816,0.75,0.12036000000000001
Brand Y,81392,0.057499999999999996,0.7520000000000001,3,0.057499999999999996,0.7520000000000001,0.25,0.04324
Brand Z,88737,0.08250000000000002,0.21199999999999997,7,0.08250000000000002,0.21199999999999997,0.75,0.017490000000000002
Brand Y,83940,0.7949999999999999,0.824,3,0.7949999999999999,0.824,0.25,0.6550799999999999
Brand W,78623,0.7650000000000001,0.7440000000000001,1,0.7650000000000001,0.7440000000000001,0.0,0.5691600000000002
Brand E,54572,0.905,0.9680000000000001,2,0.905,0.9680000000000001,0.125,0.8760400000000002
Brand X,90994,0.78,0.45999999999999996,8,0.78,0.45999999999999996,0.875,0.3588
Brand E,93796,0.5025000000000001,0.392,2,0.5025000000000001,0.392,0.125,0.19698000000000004
Brand Y,87899,0.6875,0.9800000000000001,3,0.6875,0.9800000000000001,0.25,0.6737500000000001
Brand X,53136,0.62,0.7919999999999999,8,0.62,0.7919999999999999,0.875,0.49104
Brand D,59191,0.68,0.31999999999999995,9,0.68,0.31999999999999995,1.0,0.2176
Brand W,31549,0.48250000000000004,0.4,1,0.48250000000000004,0.4,0.0,0.19300000000000003
Brand Y,65818,0.22750000000000004,0.524,3,0.22750000000000004,0.524,0.25,0.11921000000000002
Brand W,32910,0.9225000000000001,0.7040000000000001,1,0.9225000000000001,0.7040000000000001,0.0,0.6494400000000001
Brand A,38830,0.11249999999999999,0.7200000000000001,4,0.11249999999999999,0.7200000000000001,0.375,0.081
Brand B,49391,0.6925,0.7599999999999999,5,0.6925,0.7599999999999999,0.5,0.5262999999999999
Brand Z,91045,0.9475,0.21599999999999997,7,0.9475,0.21599999999999997,0.75,0.20465999999999998
Brand D,83677,0.8775,0.16799999999999993,9,0.8775,0.16799999999999993,1.0,0.14741999999999994
Brand A,86547,0.3425,0.48,4,0.3425,0.48,0.375,0.16440000000000002
Brand B,63487,0.7475,0.656,5,0.7475,0.656,0.5,0.4903600000000001
Brand C,56290,0.265,0.3959999999999999,6,0.265,0.3959999999999999,0.625,0.10493999999999998
